Fecha;Sensor;Lectura;Unidades de Lectura;Medida;Unidades de Medida;Flag;Flag Manipulación;Observaciones
01/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
01/10/2011 08:00:00;E012NEMBA;711,43;m.s.n.m.;711,43;m.s.n.m.;M;NC;
01/10/2011 08:00:00;E012TEMPMED;22,20;ºC;22,20;ºC;M;NC;
02/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
02/10/2011 08:00:00;E012NEMBA;711,41;m.s.n.m.;711,41;m.s.n.m.;M;NC;
02/10/2011 08:00:00;E012TEMPMED;20,00;ºC;20,00;ºC;M;NC;
03/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
03/10/2011 08:00:00;E012NEMBA;711,39;m.s.n.m.;711,39;m.s.n.m.;M;NC;
03/10/2011 08:00:00;E012TEMPMED;19,30;ºC;19,30;ºC;M;NC;
04/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
04/10/2011 08:00:00;E012NEMBA;711,37;m.s.n.m.;711,37;m.s.n.m.;M;NC;
04/10/2011 08:00:00;E012TEMPMED;19,80;ºC;19,80;ºC;M;NC;
05/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
05/10/2011 08:00:00;E012NEMBA;711,35;m.s.n.m.;711,35;m.s.n.m.;M;NC;
05/10/2011 08:00:00;E012TEMPMED;18,50;ºC;18,50;ºC;M;NC;
06/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
06/10/2011 08:00:00;E012NEMBA;711,33;m.s.n.m.;711,33;m.s.n.m.;M;NC;
06/10/2011 08:00:00;E012TEMPMED;18,10;ºC;18,10;ºC;M;NC;
07/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
07/10/2011 08:00:00;E012NEMBA;711,31;m.s.n.m.;711,31;m.s.n.m.;M;NC;
07/10/2011 08:00:00;E012TEMPMED;18,60;ºC;18,60;ºC;M;NC;
08/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
08/10/2011 08:00:00;E012NEMBA;711,29;m.s.n.m.;711,29;m.s.n.m.;M;NC;
08/10/2011 08:00:00;E012TEMPMED;16,20;ºC;16,20;ºC;M;NC;
09/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
09/10/2011 08:00:00;E012NEMBA;711,27;m.s.n.m.;711,27;m.s.n.m.;M;NC;
09/10/2011 08:00:00;E012TEMPMED;15,60;ºC;15,60;ºC;M;NC;
10/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
10/10/2011 08:00:00;E012NEMBA;711,25;m.s.n.m.;711,25;m.s.n.m.;M;NC;
10/10/2011 08:00:00;E012TEMPMED;17,50;ºC;17,50;ºC;M;NC;
11/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
11/10/2011 08:00:00;E012NEMBA;711,23;m.s.n.m.;711,23;m.s.n.m.;M;NC;
11/10/2011 08:00:00;E012TEMPMED;17,80;ºC;17,80;ºC;M;NC;
12/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
12/10/2011 08:00:00;E012NEMBA;711,21;m.s.n.m.;711,21;m.s.n.m.;M;NC;
12/10/2011 08:00:00;E012TEMPMED;19,10;ºC;19,10;ºC;M;NC;
13/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
13/10/2011 08:00:00;E012NEMBA;711,19;m.s.n.m.;711,19;m.s.n.m.;M;NC;
13/10/2011 08:00:00;E012TEMPMED;18,80;ºC;18,80;ºC;M;NC;
14/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
14/10/2011 08:00:00;E012NEMBA;711,17;m.s.n.m.;711,17;m.s.n.m.;M;NC;
14/10/2011 08:00:00;E012TEMPMED;18,00;ºC;18,00;ºC;M;NC;
15/10/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
15/10/2011 08:00:00;E012NEMBA;711,15;m.s.n.m.;711,15;m.s.n.m.;M;NC;
15/10/2011 08:00:00;E012TEMPMED;17,20;ºC;17,20;ºC;M;NC;
